ID,Author(s),Year,Title,Publication,Type,Theme,Key_Concepts,Relevance_to_Argentina
3.1,North DC & Weingast BR,1989,Constitutions and Commitment: The Evolution of Institutions Governing Public Choice in Seventeenth-Century England,J Econ Hist 49(4):803-832,Article,Credible Commitment,credible commitment | constitutional constraints | property rights,Federal government has Stuart-like commitment problem requiring constitutional reform
3.2,Acemoglu D & Robinson JA,2006,Economic Origins of Dictatorship and Democracy,Cambridge University Press,Book,Credible Commitment,commitment problem | institutional change | redistribution,Provinces demand institutional guarantee before accepting reform
3.3,Kydland FE & Prescott EC,1977,Rules Rather Than Discretion: The Inconsistency of Optimal Plans,J Polit Econ 85(3):473-491,Article,Credible Commitment,time-inconsistency | commitment devices | rules vs discretion,Federal compensation promise is time-inconsistent requiring rules-based solution
3.4,Greif A,1993,Contract Enforceability and Economic Institutions in Early Trade: The Maghribi Traders' Coalition,Am Econ Rev 83(3):525-548,Article,Credible Commitment,reputation mechanisms | coalition enforcement | repeated games,Provincial punishment not credible requiring external enforcer like IMF/IDB
3.5,Spiller PT & Tommasi M,2007,The Institutional Foundations of Public Policy in Argentina,Cambridge University Press,Book,Credible Commitment,intertemporal cooperation | institutional quality | policy instability,Argentina-specific analysis: weak institutions cause defensive provincial strategies
3.6,Persson T & Tabellini G,2000,Political Economics: Explaining Economic Policy (Chapters 3-4),MIT Press,Book,Credible Commitment,commitment mechanisms | institutional constraints | reputation,Short time horizons require institutional constraints not reputation mechanisms
3.7,Shepsle KA,1991,Discretion Institutions and the Problem of Government Commitment,In Social Theory for a Changing Society pp245-263,Chapter,Credible Commitment,discretion vs commitment | institutional design | conditional rules,Need conditional commitment with objective triggers and escrow account
3.8,Dixit A,1996,The Making of Economic Policy: A Transaction-Cost Politics Perspective,MIT Press,Book,Credible Commitment,transaction costs | third-party enforcement | policy credibility,High transaction costs require external enforcer plus long-term contract
3.9,Levy B & Spiller PT,1994,The Institutional Foundations of Regulatory Commitment: A Comparative Analysis of Telecommunications Regulation,J Law Econ Organ 10(2):201-246,Article,Credible Commitment,institutional complementarities | regulatory commitment | multiple safeguards,Need multiple reinforcing institutions for credible fiscal federalism
4.1,Roland G,2000,Transition and Economics: Politics Markets and Firms,MIT Press,Book,Transitional Mechanisms,big bang vs gradualism | transition sequencing | compensation,Ingresos Brutos elimination requires phased 10-15 year reduction
4.2,Dewatripont M & Roland G,1995,The Design of Reform Packages Under Uncertainty,Am Econ Rev 85(5):1207-1223,Article,Transitional Mechanisms,gradualism | option value | uncertainty | experimentation,Pilot provinces should test elimination before full scale-up
4.3,Fernandez R & Rodrik D,1991,Resistance to Reform: Status Quo Bias in the Presence of Individual-Specific Uncertainty,Am Econ Rev 81(5):1146-1155,Article,Transitional Mechanisms,status quo bias | individual-specific uncertainty | risk aversion,Need to reduce uncertainty via pre-announced province-specific compensation
4.4,Wei SJ,1997,Gradualism versus Big Bang: Speed and Sustainability of Reforms,Can J Econ 30(4):1234-1247,Article,Transitional Mechanisms,speed vs sustainability | time-consistency | reform sequencing,Hybrid approach: immediate constitutional amendment plus 10-year phase-out
4.5,"Lau LJ, Qian Y, Roland G",2000,Reform without Losers: An Interpretation of China's Dual-Track Approach to Transition,J Polit Econ 108(1):120-143,Article,Transitional Mechanisms,dual-track reform | reform without losers | Pareto-improving,Maintain Ingresos Brutos for existing firms while exempting new firms
4.6,"Murphy KM, Shleifer A, Vishny RW",1992,The Transition to a Market Economy: Pitfalls of Partial Reform,Q J Econ 107(3):889-906,Article,Transitional Mechanisms,partial reform | rent-seeking | coordination failures,Warning: partial provincial reform worsens cascading like Consenso Fiscal
4.7,Hellman JS,1998,Winners Take All: The Politics of Partial Reform in Postcommunist Transitions,World Politics 50(2):203-234,Article,Transitional Mechanisms,partial reform trap | winners block reform | stalled transitions,Exporting provinces benefit from current system and block full reform
5.1,Buchanan JM & Tullock G,1962,The Calculus of Consent: Logical Foundations of Constitutional Democracy,University of Michigan Press,Book,Constitutional Political Economy,constitutional choice | decision costs | external costs | veil of uncertainty,Supermajority requirement ensures broad support and prevents federal reneging
5.2,Buchanan JM,1987,The Constitution of Economic Policy (Nobel Lecture),Am Econ Rev 77(3):243-250,Article,Constitutional Political Economy,constitutional constraints | fiscal constitution | discretion,Need fiscal constitution with unchangeable Coparticipación formula
5.3,Wicksell K,1896/1958,A New Principle of Just Taxation,In Classics in Theory of Public Finance pp72-118,Chapter,Constitutional Political Economy,benefit principle | unanimity | Pareto improvements | just taxation,Unanimity rule prevents federal imposition without provincial compensation
5.4,Hayek FA,1960,The Constitution of Liberty (Chapter 15),University of Chicago Press,Book,Constitutional Political Economy,rule of law | discretion vs rules | economic freedom | predictability,Constitutional fiscal rules create predictability for provincial trust
5.5,Weingast BR,2014,Second Generation Fiscal Federalism: Political Aspects of Decentralization and Economic Development,World Dev 53:14-25,Article,Constitutional Political Economy,market-preserving federalism | exit threat | provincial veto,Need external enforcement or provincial veto as exit threat substitute
